scenario_id,gen_tech,year,overnight_cost_mw
3,Geothermal,2058,5000000
3,Geothermal,2059,5000000
3,Geothermal,2060,5000000
3,Geothermal,2061,5000000
3,Geothermal,2062,5000000
3,Geothermal,2063,5000000
3,Geothermal,2064,5000000
3,Geothermal,2065,5000000
3,Geothermal,2066,5000000
3,Geothermal,2067,5000000
3,Geothermal,2068,5000000
3,Geothermal,2069,5000000
3,Geothermal,2070,5000000
